FinalCustomerName,Segment,BU,DU,Month,NetAvailableHours
A82,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Jun,128
A82,Transportation,Digital Products & Services,Digital PE & Mobility,Apr,379
A82,Transportation,Digital Products & Services,Digital PE & Mobility,May,73
A82,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,42
A83,Media & Technology,Digital Products & Services,Digital Comms. & Tech,Apr,388
A83,Media & Technology,Digital Products & Services,Digital Comms. & Tech,May,341
A83,Media & Technology,Digital Products & Services,Digital Comms. & Tech,Jun,420
A83,Media & Technology,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,167
A83,Media & Technology,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,185
A83,Media & Technology,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,176
A83,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Apr,1187
A83,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,May,1142
A83,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Jun,1196
A83,Media & Technology,Media,Media,Apr,3936
A83,Media & Technology,Media,Media,May,3403
A83,Media & Technology,Media,Media,Jun,3349
A84,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,614
A84,Transportation,Aerospace & Rail,Aerospace & Rail,May,671
A84,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,735
A84,Transportation,Digital Manufacturing Services,Mechanical Services,Apr,564
A84,Transportation,Digital Manufacturing Services,Mechanical Services,May,375
A84,Transportation,Digital Manufacturing Services,Mechanical Services,Jun,380
A84,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,1028
A84,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,972
A84,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,1068
A84,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,328
A84,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,260
A84,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,292
A85,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,7780
A85,Transportation,Aerospace & Rail,Aerospace & Rail,May,7176
A85,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,7276
A85,Transportation,Digital Manufacturing Services,Mechanical Services,Apr,22667
A85,Transportation,Digital Manufacturing Services,Mechanical Services,May,21970
A85,Transportation,Digital Manufacturing Services,Mechanical Services,Jun,22197
A85,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Apr,1332
A85,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,May,1216
A85,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Jun,1472
A85,Transportation,Digital Products & Services,Analytics & AI,Apr,405
A85,Transportation,Digital Products & Services,Analytics & AI,May,412
A85,Transportation,Digital Products & Services,Analytics & AI,Jun,328
A85,Transportation,Digital Products & Services,Digital IP & Medical,Apr,148
A85,Transportation,Digital Products & Services,Digital IP & Medical,May,164
A85,Transportation,Digital Products & Services,Digital IP & Medical,Jun,164
A85,Transportation,Digital Products & Services,Digital PE & Mobility,Apr,1329
A85,Transportation,Digital Products & Services,Digital PE & Mobility,May,1984
A85,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,2268
A85,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,2721
A85,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,2605
A85,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,2758
A86,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,2768
A86,Transportation,Aerospace & Rail,Aerospace & Rail,May,3096
A86,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,3172
A86,Transportation,Digital Products & Services,Analytics & AI,Apr,552
A86,Transportation,Digital Products & Services,Analytics & AI,May,460
A86,Transportation,Digital Products & Services,Analytics & AI,Jun,468
A86,Transportation,Digital Products & Services,Digital PE & Mobility,Apr,1384
A86,Transportation,Digital Products & Services,Digital PE & Mobility,May,1332
A86,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,1208
A86,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,632
A86,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,608
A86,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,592
A87,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,208
A87,Transportation,Aerospace & Rail,Aerospace & Rail,May,1736
A87,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,1414
A87,Transportation,Digital Manufacturing Services,Mechanical Services,Apr,4168
A87,Transportation,Digital Manufacturing Services,Mechanical Services,May,4324
A87,Transportation,Digital Manufacturing Services,Mechanical Services,Jun,4200
A87,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Apr,172
A87,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,May,164
A87,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Jun,124
A89,Plant Engineering,FMCG,FMCG,Apr,-8
A89,Plant Engineering,FMCG,FMCG,May,389
A89,Plant Engineering,FMCG,FMCG,Jun,253
A91,Industrial Products,Digital Manufacturing Services,Product Lifecycle Mgmt,Apr,341
A91,Industrial Products,Digital Manufacturing Services,Product Lifecycle Mgmt,May,313
A91,Industrial Products,Digital Manufacturing Services,Product Lifecycle Mgmt,Jun,325
A91,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,6440
A91,Transportation,Aerospace & Rail,Aerospace & Rail,May,6117
A91,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,6564
A91,Transportation,Building Technology,Building Technology,Jun,185
A91,Transportation,Digital Manufacturing Services,Mechanical Services,Apr,7661
A91,Transportation,Digital Manufacturing Services,Mechanical Services,May,7666
A91,Transportation,Digital Manufacturing Services,Mechanical Services,Jun,7653
A91,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Apr,546
A91,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,May,492
A91,Transportation,Digital Manufacturing Services,Product Lifecycle Mgmt,Jun,483
A91,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Apr,2425
A91,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,May,2317
A91,Transportation,Digital Manufacturing Services,Smart Manufacturing & Sourcing,Jun,2151
A91,Transportation,Digital Products & Services,Digital IP & Medical,Apr,59
A91,Transportation,Digital Products & Services,Digital PE & Mobility,Apr,1820
A91,Transportation,Digital Products & Services,Digital PE & Mobility,May,1663
A91,Transportation,Digital Products & Services,Digital PE & Mobility,Jun,1597
A91,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Apr,1130
A91,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,May,1120
A91,Transportation,Embedded Engineering and V&V Group,Embedded HW & SW Engineering,Jun,1601
A91,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,3936
A91,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,3792
A91,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Jun,3756
A92,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Apr,612
A92,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,May,833
A92,Media & Technology,Embedded Engineering and V&V Group,V&V - M&T and IP,Jun,798
A92,Media & Technology,Media,Media,Apr,3184
A92,Media & Technology,Media,Media,May,3540
A92,Media & Technology,Media,Media,Jun,3655
A94,Transportation,Aerospace & Rail,Aerospace & Rail,Apr,3940
A94,Transportation,Aerospace & Rail,Aerospace & Rail,May,3916
A94,Transportation,Aerospace & Rail,Aerospace & Rail,Jun,3884
A94,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,Apr,480
A94,Transportation,Embedded Engineering and V&V Group,V&V - Transportation,May,584
