FinalCustomerName,Segment,BU,DU,Month,Revenue
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,ANALYTICS & AI,May,-2737.74175705
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,26229.26180978
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,28130.34429059
A122,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,28932.909262549998
A122,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,6756.26254328
A122,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,6579.29880331
A122,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,6225.6232117
A122,Media & Technology,MEDIA,MEDIA,Apr,72059.46590683999
A122,Media & Technology,MEDIA,MEDIA,Jun,83449.00301929
A122,Media & Technology,MEDIA,MEDIA,May,69119.17343075
A123,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,VLSI DESIGN,Jun,0.0
A123,Media & Technology,MEDIA,MEDIA,Apr,14249.964737070002
A123,Media & Technology,MEDIA,MEDIA,Jun,14218.91746904
A123,Media & Technology,MEDIA,MEDIA,May,13941.55591599
A125,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,39406.02787788
A125,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,39659.21627668
A125,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,42978.405679100004
A125,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,10156.7875
A125,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,10156.7875
A125,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,10156.7875
A125,Media & Technology,MEDIA,MEDIA,Apr,3656.4435
A125,Media & Technology,MEDIA,MEDIA,Jun,3656.4435
A125,Media & Technology,MEDIA,MEDIA,May,3656.4435
A126,Media & Technology,MEDIA,MEDIA,Apr,11026.20851
A126,Media & Technology,MEDIA,MEDIA,May,9365.7768895
A128,Plant Engineering,FMCG,PSCG,Jun,1247.46476618
A128,Plant Engineering,FMCG,PSCG,May,1971.8631015400001
A129,Plant Engineering,FMCG,PSCG,Jun,0.0
A129,Plant Engineering,FMCG,PSCG,May,1922.476738
A130,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,8309.6334981
A130,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,12359.5103187
A130,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,8256.9807117
A130,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,158990.59757634002
A130,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,201165.68261849
A130,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,161751.97620926
